left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
137.000000,17.000000,137.917816,15.063451,0.917811,-1.936549,-0.001611,-0.000839,0.022332,0.006347
140.000000,17.000000,140.914917,15.035028,0.914917,-1.964973,0.000241,-0.000893,0.023981,0.008482
143.000000,17.000000,143.929672,15.001018,0.929671,-1.998982,0.001320,-0.000408,0.025772,0.009712
146.000000,17.000000,146.928513,15.013875,0.928507,-1.986125,0.000750,-0.001665,0.027076,0.010737
149.000000,17.000000,149.932388,15.006642,0.932395,-1.993358,0.000440,-0.001304,0.027719,0.010419
152.000000,17.000000,152.940506,15.009376,0.940506,-1.990624,0.000110,-0.001034,0.028828,0.010545
155.000000,17.000000,155.938965,15.024704,0.938966,-1.975296,-0.000329,-0.000838,0.030504,0.010760
158.000000,17.000000,158.927185,15.057131,0.927185,-1.942869,-0.000104,-0.001090,0.032196,0.010430
161.000000,17.000000,161.924789,15.082746,0.924789,-1.917254,0.000883,-0.000850,0.033066,0.010340
164.000000,17.000000,164.933319,15.122456,0.933311,-1.877545,0.000812,-0.000906,0.033206,0.010086
167.000000,17.000000,167.939240,15.139740,0.939246,-1.860260,0.000946,0.000377,0.034317,0.010696
170.000000,17.000000,170.932907,15.188344,0.932909,-1.811656,0.001602,0.000259,0.036353,0.010402
173.000000,17.000000,173.938919,15.229971,0.938923,-1.770030,0.001887,0.001067,0.038508,0.008911
176.000000,17.000000,176.952255,15.318204,0.952255,-1.681796,0.002031,-0.000078,0.039965,0.008417
179.000000,17.000000,179.960388,15.387143,0.960383,-1.612857,0.002052,0.000096,0.040514,0.007804
182.000000,17.000000,182.966614,15.464542,0.966609,-1.535458,0.002133,0.000331,0.041562,0.008239
185.000000,17.000000,185.967560,15.558266,0.967561,-1.441734,0.001130,-0.000233,0.042287,0.007955
188.000000,17.000000,188.965134,15.639431,0.965129,-1.360569,0.000677,0.000312,0.043114,0.007592
191.000000,17.000000,191.966843,15.724775,0.966849,-1.275225,0.001397,0.001071,0.044074,0.007248
194.000000,17.000000,194.983582,15.825131,0.983587,-1.174869,0.001966,0.001036,0.044281,0.006922
197.000000,17.000000,197.976990,15.908756,0.976982,-1.091243,0.001364,0.002254,0.045399,0.006893
200.000000,17.000000,200.970413,16.026529,0.970415,-0.973470,0.001485,0.001915,0.046904,0.007115
203.000000,17.000000,203.997025,16.148407,0.997030,-0.851592,0.002267,0.001272,0.046670,0.006920
206.000000,17.000000,206.996887,16.276497,0.996889,-0.723503,0.002549,0.000882,0.046792,0.006814
209.000000,17.000000,210.009933,16.403610,1.009939,-0.596389,0.003434,0.000183,0.046855,0.006817
212.000000,17.000000,213.024063,16.516968,1.024063,-0.483032,0.002805,0.000296,0.046848,0.006927
215.000000,17.000000,216.026764,16.640759,1.026760,-0.359241,0.001865,0.000443,0.046778,0.007008
218.000000,17.000000,219.030075,16.750027,1.030082,-0.249974,0.001760,0.001327,0.047164,0.007404
221.000000,17.000000,222.026901,16.887550,1.026903,-0.112450,0.001858,0.001382,0.047567,0.007561
