x,y,u_displacement,v_displacement
206,41,2.24359,-0.691511
209,41,2.23663,-0.569766
212,41,2.26852,-0.438517
215,41,2.26744,-0.322579
218,41,2.27111,-0.181883
221,41,2.28027,-0.0529703
224,41,2.29405,0.0342986
227,41,2.28898,0.173996
230,41,2.2923,0.288781
233,41,2.30203,0.41851
236,41,2.2945,0.547865
239,41,2.30697,0.67213
242,41,2.31011,0.799128
245,41,2.3012,0.907624
248,41,2.33001,1.02116
251,41,2.32306,1.11844
254,41,2.32591,1.21958
257,41,2.33576,1.3276
260,41,2.33132,1.40726
263,41,2.33629,1.50389
266,41,2.33832,1.58211
269,41,2.36095,1.66182
272,41,2.37223,1.72289
275,41,2.34846,1.76506
278,41,2.34112,1.83439
281,41,2.36041,1.89142
284,41,2.35369,1.9285
14,44,2.46821,1.88862
17,44,2.44927,1.83682
20,44,2.45299,1.79764
23,44,2.44671,1.72525
26,44,2.44486,1.64316
29,44,2.45828,1.58427
32,44,2.42815,1.53147
35,44,2.44643,1.4263
38,44,2.44734,1.34177
41,44,2.45343,1.23758
44,44,2.43284,1.12198
47,44,2.43479,1.02167
50,44,2.44183,0.893489
53,44,2.42207,0.765867
56,44,2.40999,0.670755
59,44,2.41701,0.551474
62,44,2.40781,0.431308
65,44,2.39131,0.313803
68,44,2.39446,0.196279
71,44,2.40807,0.0765
74,44,2.40562,-0.0421974
77,44,2.39167,-0.184292
80,44,2.38751,-0.318628
83,44,2.36831,-0.43061
86,44,2.36495,-0.552655
89,44,2.35432,-0.664196
92,44,2.35266,-0.773793
95,44,2.34388,-0.894304
98,44,2.35669,-0.99022
101,44,2.35267,-1.09521
104,44,2.34335,-1.19914
107,44,2.34371,-1.31421
110,44,2.33722,-1.38843
113,44,2.32403,-1.48138
116,44,2.34189,-1.57248
119,44,2.33321,-1.63713
122,44,2.3285,-1.71023
125,44,2.31905,-1.79002
128,44,2.31036,-1.83443
131,44,2.30659,-1.87021
134,44,2.31041,-1.92174
137,44,2.3132,-1.95886
140,44,2.30707,-1.98596
143,44,2.31233,-2.00925
146,44,2.31286,-1.99869
149,44,2.30874,-1.99236
