left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
36.000000,18.000000,37.692497,18.706074,1.692496,0.706074,NaN,NaN,NaN,0.006895
39.000000,18.000000,40.660427,18.616226,1.660428,0.616226,NaN,NaN,NaN,0.006207
42.000000,18.000000,43.669235,18.410841,1.669237,0.410842,NaN,NaN,NaN,0.007072
45.000000,18.000000,46.657650,18.242094,1.657649,0.242094,NaN,NaN,NaN,0.007309
48.000000,18.000000,49.617474,18.043846,1.617474,0.043847,NaN,NaN,NaN,0.008519
51.000000,18.000000,52.612747,17.847132,1.612746,-0.152868,NaN,NaN,NaN,0.009978
54.000000,18.000000,55.598789,17.662552,1.598791,-0.337447,NaN,NaN,NaN,0.009538
57.000000,18.000000,58.634300,17.544718,1.634299,-0.455282,NaN,NaN,NaN,0.009602
60.000000,18.000000,61.577370,17.290773,1.577368,-0.709227,NaN,NaN,NaN,0.009993
63.000000,18.000000,64.578903,17.106815,1.578905,-0.893185,NaN,NaN,NaN,0.010208
66.000000,18.000000,67.534470,16.940346,1.534467,-1.059655,NaN,NaN,NaN,0.009415
69.000000,18.000000,70.504585,16.812626,1.504585,-1.187374,NaN,NaN,NaN,0.007575
72.000000,18.000000,73.485840,16.778143,1.485838,-1.221857,NaN,NaN,NaN,0.004754
75.000000,18.000000,76.484711,16.685263,1.484709,-1.314738,NaN,NaN,NaN,0.004729
78.000000,18.000000,79.412582,16.507195,1.412586,-1.492806,NaN,NaN,NaN,0.005094
81.000000,18.000000,82.335541,16.374666,1.335537,-1.625333,NaN,NaN,NaN,0.005844
84.000000,18.000000,85.372185,16.265471,1.372186,-1.734529,NaN,NaN,NaN,0.004496
87.000000,18.000000,88.362473,16.134674,1.362475,-1.865326,NaN,NaN,NaN,0.004239
90.000000,18.000000,91.431694,16.092505,1.431695,-1.907496,NaN,NaN,NaN,0.004168
93.000000,18.000000,94.448486,16.040512,1.448485,-1.959487,NaN,NaN,NaN,0.004908
96.000000,18.000000,97.455734,16.001221,1.455733,-1.998780,NaN,NaN,NaN,0.005304
99.000000,18.000000,100.472450,15.985279,1.472449,-2.014721,NaN,NaN,NaN,0.005475
102.000000,18.000000,103.459068,15.989520,1.459071,-2.010480,NaN,NaN,NaN,0.006113
